Resource,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,troubleshooting,DS-VD,DS-SD
Magento_Backend::all,,,,,,,,,,,,,
Magento_Backend::dashboard,,,,,,,,,,,1,,
Riki_Questionnaire::questionnaire,1,,,,,,,,,,1,,
Riki_Questionnaire::new,1,,,,,,,,,,1,,
Riki_Questionnaire::save,1,,,,,,,,,,1,,
Riki_Questionnaire::delete,1,,,,,,,,,,1,,
Wyomind_MassStockUpdate::main,,,,,,,,,,,1,,
Wyomind_MassStockUpdate::profiles,,,,,,,,,,,1,,
Wyomind_MassStockUpdate::massstockupdate_config,,,,,,,,,,,1,,
Wyomind_PointOfSale::main,1,,,,,1,1,,,,1,1,
Wyomind_PointOfSale::pos,1,,,,,1,1,,,,1,,
Wyomind_PointOfSale::pointofsale_config,,,,,,,,,,,1,,
Riki_DeliveryType::managedelitype,1,,,,,1,1,,,,1,,
Riki_AdvancedInventory::actions,,,,,,1,1,,,,1,,
Riki_Loyalty::reward_point,,,,,,,,,1,,1,,
Riki_Loyalty::approve_point,,,,,,,,,1,,1,,
Riki_Loyalty::delete_point,,,,,,,,,1,,1,,
Magento_Sales::sales,1,1,,1,1,1,1,1,1,1,1,1,
Magento_Sales::sales_operation,1,1,,1,1,1,1,1,1,1,1,1,
Magento_Sales::sales_order,1,,,1,1,1,1,1,1,1,1,1,
Magento_Sales::actions,1,,,1,1,1,1,1,1,1,1,1,
Riki_Sales::sales_order_reconciliation,,,,,,,,,,1,1,,
Riki_Sales::salesOrderGirdOnly,1,,,,1,1,,1,1,1,1,1,
Magento_Sales::create,,,,1,,,,,,,,,
Riki_Sales::create_custom_item_price,,,,,,,,,,,,,
Magento_Reward::reward_spend,,,,,,,,,,,,,
Magento_Sales::actions_view,1,,,1,1,1,1,1,1,1,1,1,
Riki_Sales::salesViewOrderOnly,,,,,,,,,,,,1,
Magento_Sales::email,,,,1,,,,,,,,,
Magento_Sales::reorder,,,,1,,,,,,,,,
Magento_Sales::actions_edit,,,,1,,,,,,,,,
Magento_Sales::cancel,,,,1,1,,,,,,,,
Magento_Sales::review_payment,,,,,,,,,,,1,,
Magento_Sales::capture,,,,1,1,,,,,,1,,
Magento_Sales::invoice,,,,1,,,,,,,1,,
Magento_Sales::creditmemo,,,,,,,,,,,1,,
Magento_Sales::hold,,,,,,,,,,,1,,
Magento_Sales::unhold,,,,,1,,,,1,,1,,
Magento_Sales::ship,,,,,,,,,,,1,,
Magento_Sales::comment,,,,1,1,,,,1,,1,,
Magento_Sales::emails,,,,,,,,,,,,,
Riki_Fraud::suspected_fraud,,,,,,,,,,,,,
Riki_Sales::sales_subscription_order,,,,,,,,,,,,,
Magento_Sales::sales_invoice,,,,1,1,,,,,,1,,
Magento_Sales::shipment,,,,1,1,1,1,1,1,1,1,1,
Riki_Shipment::shipment_actions,,,,1,1,1,1,1,1,1,1,1,
Riki_Sales::shipmentOrderGirdOnly,,,,,,1,1,1,1,,1,1,
Riki_Shipment::shipment_actions_rejected,,,,,,,,,,,1,,
Riki_Shipment::shipment_actions_shippedout,,,,1,1,,,,,,1,,
Riki_Shipment::shipment_actions_completed,,,,,,,,,,,1,,
Magento_Sales::sales_creditmemo,,,,,,,,,,,1,,
Magento_Sales::shipment_view,,,,1,1,1,1,1,1,1,1,1,
Riki_Sales::shipmentViewOrderOnly,,,,,,,,,,,1,1,
Magento_Rma::magento_rma,,,,1,1,1,1,1,1,1,1,,
Riki_Rma::rma_return,,,,1,1,1,1,1,1,1,1,,
Riki_Rma::rma_return_actions,,,,1,1,1,1,1,1,1,1,,
Riki_Rma::rma_return_actions_view_comment,,,,1,1,1,1,1,1,1,1,,
Riki_Rma::rma_return_actions_close,,,,1,,,1,1,,,1,,
Riki_Rma::rma_return_actions_save,,,,1,,,,1,,,1,,
Riki_Rma::rma_return_actions_export_to_sap,,,,,,,,,,,1,,
Riki_Rma::rma_return_actions_save_w,,,,,,,,1,,,1,,
Riki_Rma::rma_return_actions_save_cc,,,,1,,1,,,,,1,,
Riki_Rma::rma_return_actions_accept_request,,,,1,,,,,,,1,,
Riki_Rma::rma_return_actions_deny_request,,,,1,,,,,,,1,,
Riki_Rma::rma_return_actions_approve_request,,,,,1,,,,,,1,,
Riki_Rma::rma_return_actions_reject_request,,,,,1,,,,,,1,,
Riki_Rma::rma_return_actions_approve,,,,,,1,1,,,,1,,
Riki_Rma::rma_return_actions_reject,,,,,,1,1,,,,1,,
Riki_Rma::rma_return_reconciliation,,,,,,,,,,1,1,,
Riki_Rma::rma_refund,,,,1,1,1,1,1,,1,1,,
Riki_Rma::rma_refund_actions,,,,1,1,1,1,1,,1,1,,
Riki_Rma::rma_refund_actions_view,,,,1,1,1,1,1,,1,1,,
Riki_Rma::rma_refund_actions_approve,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_deny,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_reject,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_processing_bank,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_complete_bank,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_processing_check,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_complete_check,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_save_status,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_save_method,,,,,,,,,,1,1,,
Riki_Rma::rma_refund_actions_export_csv,,,,,,,,,,1,1,,
Riki_TmpRma::rma,,,,1,1,1,1,1,1,,1,,
Riki_TmpRma::rma_actions,,,,1,1,1,1,1,1,,1,,
Riki_TmpRma::rma_actions_create,,,,,,,,1,,,1,,
Riki_TmpRma::rma_actions_view,,,,1,1,1,1,1,1,,1,,
Riki_TmpRma::rma_actions_edit,,,,1,1,,,1,,,1,,
Riki_TmpRma::rma_actions_delete,,,,,,,,1,,,1,,
Riki_TmpRma::rma_actions_reject,,,,1,,,,,,,1,,
Riki_TmpRma::rma_actions_approve,,,,1,,,,,,,1,,
Riki_TmpRma::rma_actions_close,,,,1,,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg,,,,1,1,1,1,1,1,1,1,,
Riki_RmaWithoutGoods::rma_wg_actions,,,,1,1,1,1,1,1,1,1,,
Riki_RmaWithoutGoods::rma_wg_actions_create,,,,1,1,,,,,,1,,
