Resource,DS-ADM,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,DS-KSS1
Magento_Sales::actions_view,0,1,,,1,1,1,1,1,,1,1
Magento_Sales::actions_create,,,,,1,,,,,,,
Magento_Sales::actions_edit,,,,,1,,,,,,,
Magento_Sales::cancel,,,,,1,,,,,,,
Magento_Sales::actions_export_excl,,,,,1,1,1,1,,,1,1
Magento_Sales::actions_export_incl,,,,,1,1,,1,,1,,
Magento_Sales::shipment_view,,,,,1,1,1,1,1,1,,1
Magento_Sales::shipment_create,,,,,,1,,,,,,
Magento_Sales::shipment_edit,,,,,,1,,,,,,
Magento_Sales::shipment_cancel,,,,,,1,,,,,,
Magento_Sales::shipment_approve_freeship,,,,,,,1,,,1,,
Magento_Sales::shipment_export_excl,,,,,1,1,1,1,1,1,,1
Magento_Sales::shipment_export_excl,,,,,,1,1,,,1,,
Riki_TmpRma::rma_actions_view,,,,,1,1,1,1,1,1,,
Riki_TmpRma::rma_actions_create,,,,,,,,,1,,,
Riki_TmpRma::rma_actions_save,,,,,,,,,1,,,
Riki_TmpRma::rma_actions_delete,,,,,,,,,1,,,
Riki_TmpRma::rma_actions_reject,,,,,1,,,,,,,
Riki_TmpRma::rma_actions_approve,,,,,1,,,,,,,
Riki_TmpRma::rma_actions_close,,,,,1,,,,,,,
Riki_Rma::rma_return_actions,,,,,,,,,,,,
Riki_Rma::rma_return_actions_create_request,,,,,1,,,,1,,,
Riki_Rma::rma_return_actions_view,,,,,1,1,1,1,1,1,,
Riki_Rma::rma_return_actions_close,,,,,1,,,1,1,,,
Riki_Rma::rma_return_actions_export,,,,,1,1,1,1,1,1,,
Riki_Rma::rma_return_actions_save,,,,,1,,1,,1,,,
Riki_Rma::rma_return_actions_accept_request,,,,,1,,,1,,,,
Riki_Rma::rma_return_actions_deny_request,,,,,1,,,1,,,,
Riki_Rma::rma_return_actions_approve_request,,,,,,1,,1,,,,
Riki_Rma::rma_return_actions_reject_request,,,,,,1,,1,,,,
Riki_Rma::rma_return_actions_approve,,,,,,,1,,,,,
Riki_Rma::rma_return_actions_reject,,,,,,,1,1,,,,
Riki_Rma::rma_refund,,,,,,,,,,,,
Riki_Rma::rma_refund_actions,,,,,,,,,,,,
Riki_Rma::rma_refund_actions_view,,,,,1,1,1,1,1,,,
Riki_Rma::rma_refund_actions_approve,,,,,,,,,,,1,
Riki_Rma::rma_refund_actions_deny,,,,,,,,,,,1,
Riki_Rma::rma_refund_actions_reject,,,,,,,,,,,1,
Riki_Rma::rma_refund_actions_processing_bank,,,,,1,,,,,,,
Riki_Rma::rma_refund_actions_complete_bank,,,,,,1,1,1,,,,
Riki_Rma::rma_refund_actions_processing_check,,,,,,,1,1,,,,
Riki_Rma::rma_refund_actions_complete_check,,,,,,,,,,,1,
Magento_Customer::customer,,,,,1,1,1,1,,,,1
Magento_Reward::reward_balance,,,,,1,1,1,1,,,,1
Magento_Customer::new,,,,,1,1,,,,,,
Magento_Customer::edit,,,,,1,1,,,,,,
Magento_Customer::delete,,,,,1,1,,,,,,
Magento_Customer::customer_export_incl,,,,,,,,,,,,
Magento_Customer::shoshacustomer,,,,,,1,,,,1,,
Riki_Customer::create_shosha_customer,,,,,,1,,,,1,,
Magento_Customer::shoshacustomer_save,,,,,,1,,,,1,,
Magento_Customer::shoshacustomer_delete,,,,,,1,,,,1,,
Magento_Customer::addpoint,,1,,,,,,,,1,,
Magento_Catalog::category_view,,1,,,,,,,,1,,1
Magento_Catalog::category_create,,1,,,,,,,,1,,1
Magento_Catalog::category_edit,,1,,,,,,,,1,,1
Magento_Catalog::category_delete,,1,,,,,,,,1,,1
Magento_Catalog::actions_view,,1,,,1,1,1,1,,,1,1
Magento_Catalog::actions_create,,,,1,,,,,,,,
Magento_Catalog::actions_edit,,,,1,,,,,,,,
Magento_Catalog::actions_delete,,,,1,,,,,,,,
Magento_Catalog::actions_export,,1,,,,1,,,,,,
Magento_Catalog::catalog_inventory,,,,,,,,,,,,
Magento_Catalog::catalog_inventory_view,,,,,1,1,1,1,,1,,
Magento_Catalog::catalog_inventory_edit,,,,,,1,1,1,,1,,
Riki_FairAndSeasonalGift::fair_management,,,,,,,,,,,,
Wyomind_PointOfSale::pos,,1,,1,,,1,,,,,
Riki_DeliveryType::managedelitype,,1,,1,,,1,,,,,
Riki_TimeSlots::manage_time_slots,,1,,1,,,1,,,,,
Magento_CatalogRule::promo_catalog,,1,,,,,,,,,,
Magento_PromotionPermissions::edit,,1,,,,,,,,,,
Magento_SalesRule::quote,,1,,,,,,,,,,
Magento_PromotionPermissions::quote_edit,,1,,,,,,,,,,
Riki_Questionnaire::questionnaire,,1,,,,,,,,,,
Riki_Questionnaire::new,,1,,,,,,,,,,
Riki_Questionnaire::save,,1,,,,,,,,,,
Riki_Questionnaire::delete,,1,,,,,,,,,,
Riki_SerialCode::serial_code,,1,1,,,,,,,,,
Riki_SerialCode::serial_code_action_view,,1,1,,,,,,,,,
Riki_SerialCode::serial_code_action_edit,,1,1,,,,,,,,,
Riki_SerialCode::serial_code_action_delete,,1,1,,,,,,,,,
Riki_SerialCode::serial_code_import,,1,1,,,,,,,,,
Riki_ArReconciliation::import_payment_csv,,,,,,,,,,,1,
Riki_ArReconciliation::import_payment_csv_file,,,,,,,,,,,1,
