"Date","日付"
"Point type","ポイント種別"
"Point issue type","ポイント発行種別"
"Point status","ポイント状態"
"Expiration date","有効期限"
"Order number","注文番号"
"Number of point","ポイント数"
"Issued point","ポイント数"
"Earned point","獲得予定ポイント"
"Order no","注文番号"
"Description","理由"
"Apply Point","使用ポイント"
"Shopping Point Use","ポイント使用分"
"Total amount of payment (Tax included)","注文合計（税込）"
"Total amount of payment (Tax included):","注文合計（税込）:"
"Total Payment (Incl. Tax)","お支払合計金額（税込)"
"On purchase","注文時"
"Product review","レビュー"
"Questionnaire","アンケート"
"Adjustment","調整"
"Member registration","会員登録"
"Free gift exchange","景品交換"
"Discount available","値引利用"
"Site visit","サイト訪問"
"Game","ゲーム"
"Campaign","キャンペーン"
"Content usage","コンテンツ利用"
"Point exchange","ポイント交換"
"Other","その他"
"Tentative","予定"
"Addition (temporary issue)","予定"
"Addition (valid)","獲得"
"Invalid","無効"
"Subtraction","減算"
"%s records found","%s件見つかりました"
"・Approve (by call center SV)","・コールセンターSVによる承認"
"・Approve（by CS)","・カスタマーサービスによる承認"
"・Reject (by call center OP)","・コールセンターOPによる否認"
"・Reject （by CS)","・カスタマーサービスによる否認"
"・Reject(by call center SV)","・コールセンターSVによる否認"
"・Save and send for approval (by call center OP)","・コールセンターOPによる承認"
"Actions","操作"
"All Customers","すべての顧客"
"Apply Firters","入力した条件で検索"
"Automatically calculated Shipping Fee","送料自動計算"
"Business User","""登録/更新ユーザ"""
"Cancel","キャンセル"
"Categories enquiry","カテゴリ"
"Clear All","すべての検索条件を解除"
"Create/Edit Customer","顧客プロファイルページへ"
"Customer ConsumerDb ID","DB顧客ID（EC）"
"Customer Summary","顧客情報"
"Deselect All","すべてをチェックをはずす"
"Deselect All on This Page","このページのすべてを選択をはずす"
"Export","エクスポート"
"Filters","検索"
"Final Returned shipping fee","最終返品送料"
"Final Returnedpayment fee","最終返品支払手数料"
"Full","全部返品"
"Goode amount (including wrapping fee)","返品金額（包装・のし代含む）"
"Hold","保留"
"Items","定期便詳細"
"Manage Shosha","商社管理"
"Never (Offline)","無（オフライン顧客）"
"Normal Delivery","宅配便"
"Normal order","通常注文"
"Notifications","メンテナンス通知"
"Now Online","今オンラインのお客様"
"of %s  ","%s件中"
"Partial","部分返品"
"Payment fee adjustment","返品支払手数料調整"
"per page ","件表示（表示件数）"
"Point Balance","保有ポイント"
"Points not  retractable","キャンセル不可ポイント"
"Points retractable","キャンセル可能ポイント"
"Points to cancel","キャンセルポイント"
"Points to cancel: Earned points","キャンセルすべきポイント"
"Points to return","返品使用ポイント"
"Refund allowed ","返金可否"
"Refund Amount: Adj","返品額調整"
"Refund Wrapping","返品包装・のし代"
"Refund Wrapping: Adj","返品包装・のし代調整"
"Refund Wrapping: Final","最終返品包装・のし代"
"Remain of not retractable points","返品調整ポイント"
"Reset","リセット"
"Return method","返金方法"
"Return shipping fee","返品送料"
"Return Summary","返品情報"
"Returned payment fee","返品支払手数料"
"Returned Warehouse","返品受付倉庫"
"Save","保存"
"Search Customer ConsumerDB","顧客検索（顧客DB）"
"Select All","すべてをチェック"
"Select All on This Page ","このページのすべてを選択"
"ship to multiple address","複数配送先"
"Shipping fee Adjustments","返品送料調整"
"Substitution order","代品出荷番号"
"Surcharge","代引手数料"
"Total before point adjustment","ポイント調整前返品金額"
"update export date order Item","出荷日更新しました"
"we couldn't find any records","登録なし"
"[Warehouse (hidden), code : ASKUL]","在庫数"
"[Warehouse (hidden), code : TOYO]","在庫数"
"1 month","1か月"
"1 week","1週間"
"2 month","2か月"
"2 week","2週間"
"3 month","3か月"
"3 week","3週間"
"4 month","4か月"
"Action","操作"
"Active","有効"
"Active filters:","検索リスト:"
"Add Gift Wrapping","ギフトラップイング追加"
"Add New Option","オプション追加"
"Add New Prize ","新規登録"
"Add new Question","質問を追加"
"Add New Return Item
Requested","返品受付伝票明細を追加
申請中
"
"Add New Template","新規テンプレート登録"
"Add Price","設定を追加"
"Add Product by SKU","SKUコード指定で商品追加"
"Add Reward Points","付与ポイント（値、％）"
"Add video","新規動画登録"
"Adjust final price to discount value","販売価格を直接指定（税抜価格）"
"Adjust final price to this percentage","販売価格（％）を直接指定（税抜価格）"
"Advanced Inventory","在庫詳細"
"Advanced Pricing","価格詳細設定"
"ADVANCED SETTING - Advanced Inventory","詳細設定 - 在庫詳細"
"ADVANCED SETTING - Advanced Pricing","詳細設定 - 価格詳細"
"ADVANCED SETTING - Autosettings","詳細設定 - 自動設定"
"ADVANCED SETTING - Cross-sells","詳細設定 - クロスセル商品"
"ADVANCED SETTING - Custom Options","詳細設定 - カスタムオプション"
"ADVANCED SETTING - Design","詳細設定 - デザイン"
"ADVANCED SETTING - Related Products","詳細設定 - 関連商品"
"ADVANCED SETTING - Up-sells","詳細設定 - アップセル商品"
"Aichi","愛知県"
