"NpAtobarai","NP後払い"
"Pending reason","キャンセル理由"
"Details of this payment method","○このお支払方法の詳細"
"After confirming the arrival of the product, at 'Convenience Store' 'Post Office' 'Bank' 'LINE Pay'","商品の到着を確認してから、「コンビニ」「郵便局」「銀行」「LINE Pay」で"
"This is a simple and easy way to pay later. Invoice is separate from the product","後払いできる安心・簡単な決済方法です。請求書は、商品とは別に"
"Payment will be made within 14 days after issuance.","郵送されますので、発行から14日以内にお支払いをお願いします。"
"please note","○ご注意"
"Postpay fee:","後払い手数料："
"For postpay orders,","後払いのご注文には、"
"Net Protections Inc.","株式会社ネットプロテクションズ"
"Provided by","の提供する"
"NP postpaid service is applied, providing personal information within the scope of the service,","NP後払いサービスが適用され、サービスの範囲内で個人情報を提供し、"
"Transfer the price receivable. The maximum usage limit is 55,000 yen (tax included).","代金債権を譲渡します。ご利用限度額は累計残高で55,000円（税込）迄です。"
"Transfer the price receivable.","代金債権を譲渡します。"
"The maximum usage limit is 55,000 yen (tax included).","ご利用限度額は累計残高で55,000円（税込）迄です。"
"Click on the banner for details.","詳細はバナーをクリックしてご確認下さい。"
"If you are a minor, please use it with the consent of a legal representative.","ご利用者が未成年の場合、法定代理人の利用同意を得てご利用ください。"
"Pending reason","キャンセル理由"
