"Shipping & Handling","Shipping cost (Tax included)"
"Surcharge","Transaction Fee (Tax included)"
"Surcharge Fee","Transaction fee (tax incl.)"
"Grand Total (Excl.Tax)","Total order amount (Tax excluded)"
"Grand Total (Incl.Tax)","Total order amount (Tax included)"
"Grand Total Incl. Tax","Total order amount (Tax included)"
"Point Used","Apply Point"
"Earned Point","Reward points earned"
"Grand Total","Total (tax incl.)"
"Product List","Product List"
"Shipment fee","Shipment Fee"
"Delivery date","Delivery Date"
"Subscription / Hanpukai","Subscription / Hanpukai"
"Subtotal","Subtotal"
"Shipping & Handling","Shipping Fee (Incl. Tax)"
"Sama","Sama"
"Before confirmation of payment","Before confirmation of payment"
"Items total (Tax included)","Total Product Price (Incl. Tax)"
"Row total","Row Total"
"Receipt name 1","%1 %2 様"
"Receipt name 2","%1 %2 %3 様"
"Receipt name 3","%1 様"
"Receipt name 4","%1 %2 %3 様"
"Receipt name 5","%1 %2 様"
"print invoice header store name","Nestlé  Japan Limited"
"print invoice header title 1","ネスレ日本株式会社"
"print invoice header title 2","OFFICIAL RECEIPT"
"print invoice header title 3","領　収　証"
"print invoice header secondary printing","== 再発行 =="
"print invoice receive from","支払者"
"print invoice total amount","金額"
"print invoice order number","受注番号"
"print invoice shipped out date","出荷日"
"print invoice date suffix","日 付"
"print invoice used point","Used point"
"print invoice wrapping fee","Wrapping fee"
"print invoice payment fee","Payment fee"
"currency symbol english","¥"
"Discount Print (%1)","Discount (%1)"
"Discount Print","Discount"
"This order is in processing.%s Contact to the manager to stop transfering to warehouse, and you try to cancel this order again if it is OK to stop this shipping.%s In addition, you can NOT cancel for LOHACO order if this order status is ""IN_PROCESSING"".","This order is in processing.%s Contact to the manager to stop transfering to warehouse, and you try to cancel this order again if it is OK to stop this shipping.%s In addition, you can NOT cancel for LOHACO order if this order status is ""IN_PROCESSING""."
"required sign","※"
