"Have error when save date","日付を保存するとエラーが発生する"
"Registering address information","お届け先情報の登録"
"Last name is a required field.","お届け先名（姓）は必ず入力してください。"
"First name is a required field.","お届け先名（名）は必ず入力してください。"
"Last name katakana is a required field.","お届け先名カナ（姓）は必ず入力してください。"
"First name katakana is a required field.","お届け先名カナ（名）は必ず入力してください。"
"Postal code is a required field.","郵便番号は必ず入力してください。"
"Prefectures is a required field.","都道府県は必ず入力してください。"
"Please enter with double-byte last name character.","お届け先名（姓）は必ず入力してください。"
"Please enter with double-byte first name character.","お届け先名（名）は必ず入力してください。"
"Please enter with double-byte last kanatana name character.","お届け先名カナ（姓）は必ず入力してください。"
"Please enter with double-byte first kanatana name character.","お届け先名カナ（名）は必ず入力してください。"
"waiting_for_shipment","出荷準備中です"
"editable","お届け内容変更可能です"
"for_reference","お届け内容変更不可です"
"Manage point settings","ポイント設定を管理する"
"Change of registration information","お届け先情報の変更"
"Edit address","お届け先情報の変更"
"Choose from the registered destinations","お届け先を選ぶ"
"Registering a new destination","新しいお届け先を登録"
"Change of delivery times","お届け回の変更"
"Please check because there are two on how to change.","変更方法には2通りございますのでご確認ください。"
"[Example] person of one month course, if you want to change the 'delivered on August 15' to 'deliver on August 30'","【例】1か月コースの方が、「8月15日にお届け」を「8月30日にお届け」に変更する場合"
"Applying the above changes","上記の変更内容を適用する"
"Proceed to the next","次へ進む"
"The following items can be added to the above address.","上記お届け先に、以下の商品を追加できます。"
"To add","追加する"
"Shipment Fee and Shipment Type","送料 and Shipment type"
"Total Payable Amount","お支払い予定金額（税込）"
"Shipment Fee","送料"
"Modification Option","変更の適用"
"next delivery and all future delivery then","このお届け回以降も同様に変更します。"
"Only update changed information into Next Subscription Delivery","このお届け回のみ変更します。"
"Name of Product","商品名称"
"Name of Method","お支払方法"
"Product Type","種別"
"When you choose Yes, the product will add to sub profile and re-load the page so you will lose all changes. Do you want to continue?","さて、すみません、申し訳ありませんが、申し訳ありません。 申し訳ありませんが、申し訳ありません。 。 あなたはどのようにこれに慣れていますか？"
"Subscription Course Change","【定期お届け便】注文内容確認"
"Go Next","次に進む"
"Select Frequency","お届け間隔"
"「※」is a mandatory input","「※」は必須入力項目です。"
"Change Frequency of subscription order delivery","お届け間隔を変更してください"
"Change Frequency","定期便頻度を変更する"
"Please check the contents of registration and click Update.","以下でよろしければ「更新する」をクリックしてください。"
"Save Changes","更新する"
"Skip next delivery","定期便お休みの確認"
"Choose Address","お届け先の設定"
"Ok","設定する"
"Branch","ブランド"
"Add items outside the course","コース外の商品を追加する"
"Regular bundled shipping item search","定期お届け便　商品検索"
"What are you looking for? (Product name, model number)","何をお探しですか？（商品名、型番）"
"Add product to subscription confirmation","次回のお届けに追加する"
"Subscription Course Name","お届けコース"
"Products already in Subscription Course","既に予定している商品"
"Products added","追加した商品"
"Paid Services","有料サービス合計"
