"Issue a receipt","領収書の宛名"
"Issue receipt","印刷イメージの表示"
"Reissuing receipt","領収書の再発行"
"You can't print the receipt","お届けが完了していないため、印刷できません。"
"You can't print the receipt. All items has not been delivered yet","お届け完了後に印刷できます。"
"Row total","購入金額"
"Please select one option below","宛名を選択してください。"
"You already printed this invoice over 2 times.","「領収書の再発行はできません。ご不明な点等がございましたら、ネスレ通販コールセンター(0120-600-868)にお問い合わせ下さい。ネスカフェアンバサダーの方はアンバサダーウエルカムセンター(0120-252-166)にお問い合わせ下さい。」"
"Receipt name 1","%1 %2 様"
"Receipt name 2","%1 %2 %3 様"
"Receipt name 3","%1 様"
"Receipt name 4","%1 %2% 3様"
"Receipt name 5","%1 %2 様"
"print invoice header store name","Nestlé  Japan Limited"
"print invoice header title 1","ネスレ日本株式会社"
"print invoice header title 2","OFFICIAL RECEIPT"
"print invoice header title 3","領　収　証"
"print invoice header secondary printing","== 再発行 =="
"print invoice receive from","支払者"
"print invoice total amount","金額"
"print invoice order number","受注番号"
"print invoice shipped out date","出荷日"
"print invoice date suffix","日 付"
"Discount","その他値引き額"
"Discount %","その他値引き額 %"
"Discount (%1)","その他値引き額（%1）"
"Discount Amount","その他値引き額"
"Discount Print (%1)","その他値引き額（%1）"
"Discount Print","その他値引き額"
