such as,様に
Proceed to the final confirmation,最終確認へ進む
Select the subscription course to add product,商品を追加するコースをお選びください
Delivery interval,お届け間隔
Delivery schedule date & time,お届け先予定日時
Discount Codes,割引コード
Enter your code,クーポンのコードを入力してください
APPLIED COUPONS,有効なクーポン
Cancel,キャンセル
Auto add promo items with products,個別商品向け自動付帯アイテム
Auto add promo items for the whole cart,全カゴ向け自動付帯プロモーションアイテム
Auto add the same product,同商品の自動付帯
Auto add promo items for every $X spent,自動Xが過ごしたすべての$のためのプロモーションアイテムを追加します
Type,タイプ
All SKUs below,以下の全てのSKU
One of the SKUs below,下記のSKUの中から一つ
Promo Items,プロモーションアイテム
Comma separated list of the SKUs,カンマで分けられたSKUのリスト
Free Items,フリー商品
Add to cart,買い物カゴに入れる
Choose an Option...,選択してください
Amount,合計
"Use negative amount to deduct points e.g. ""-100""",マイナスのポイントを使う
Comment,コメント
Reward Points,特典ポイント
Amasty Rewards,Amastyの特典
Add Rule,ルールを加える
Save and Continue Edit,保存と編集続行
Add new Reward Rule,特典ルールを加える
Reward Information,特典に関する情報
Actions,アクション
General,全体
Action,アクション
Spent Amount,支払い合計
Conditions,条件
Apply the rule only if the following conditions are met (leave blank for all products).,下記の条件に当てはまった場合のみルールを適用する
Name,名前
Status,状況
Websites,ウエブサイト
Customer Groups,顧客グループ
Labels,ラベル
Default Label,標準ラベル
Default Rule Label for All Store Views,全店舗表示の標準ルールラベル
Store View Specific Labels,店舗一覧特定のラベル
Reward Options,特典オプション
Restricts For All,すべてのために制限
Any,どれか
Restricts in All,すべてに制限
My Rewards,マイリワード
Rewards,特典
You deleted the item.,商品が削除されました
We can\'t delete item right now. Please review the log and try again.,現在商品を削除できません時間をおいてお試しください
We can\'t find a item to delete.,削除する商品がありません
Please select a rule to duplicate.,複製するためのルールを選択してください
This item no longer exists.,この商品はすでに存在しません
The rule has been duplicated. Please feel free to activate it.,このルールは複製されました自由にご利用ください
Something went wrong while saving the item data. Please review the error log.,データ保存中に不具合が発生しましたエラーログをご覧ください
You activated the rule(s).,ルールを有効にします
You inactivated the rule(s).,ルールを無効にします
You deleted the rule(s).,ルールを削除します
We can\'t delete rule(s) right now. Please review the log and try again.,現在ルールを削除できません再度お試しください
We can\'t find a rule(s) to delete.,削除するルールが見つかりません
The wrong item is specified.,間違った商品が特定されました
You saved the item.,商品を保存しました
Too much point(s) used.,上限以上のポイントが使われました
You Canceled Reward,特典をキャンセルしました
We cannot Reward.,特典はできません
NOT LOGGED IN,ログインしていません
Active,有効
Inactive,無効
Order Completed,注文完了
Newsletter subscription,ニュースレターの定期購読
Customer birthday,顧客の誕生日
For every $X spent,＄X支払う事に
Registration,登録
Order %1 paid,Order %1 paid
Newsletter subscription bonus,ニュースレター購読特典
Regisration bonus,登録特典
Happy Birthday!,Happy Birthday!
Order Paid,支払い注文
Current Balance:,現在の残高
Total Earned:,獲得合計
Total Spent:,支払い合計
Apply Rewards,特典を申し込む
%3 for every %1%2,すべての%1%2の%3
Enter reward amount,特典合計を入力
Apply,申し込み
Cancel Reward,特典をキャンセルする
Current holding point,現在の保有ポイント
point,ポイント
Setting the automatic use point,自動利用ポイントの設定
More info,詳細情報
Earn points,ポイント獲得
"Each time, to automatically use all of the holding point",毎回自動で設定されたポイントが使われます
"Every time, automatically use the specified point",ポイントは毎回自動的に使用されます
"※ If the point that you want to automatically use is less than the set value, you can use all the points that are held at that point in time.",自動設定されたポイントの場合、全額が利用されます
Save,保存
Save Settings,保存設定
Point history,ポイント履歴
Detail info about points stored,獲得予定ポイント保有ポイントについて
Date,日付
Point issue type,ポイントタイプ
Point status,ポイント状況
Expiration Date,有効期限
Order number,その他の番号
You have no rewards.,リワードがありません
You have entered an invalid password for current user.,パスワードが無効です
You can't use same password as previous,前回と同じパスワードは利用できません
You saved the account.,アカウントが保存されました
An error occurred while saving account.,アカウントセーブ中にエラーが起こりました
We can\'t save the data.,データが保存できません
You saved the referred payment method.,支払い情報が保存されました
We can\'t update preferred method.,前回の方法を更新できません
* Required Fields,必須項目
"Please, Select your preferred payment method.",支払い方法を選択してください
Pending for CVS Payment,CVS支払いを延期します
Payment URL,ペイメントURL
Payment limit date,支払い期限
